location_id;location_name
1;Global
18;Thailand
19;Timor-Leste
17;Sri Lanka
16;Philippines
15;Myanmar
35;Georgia
34;Azerbaijan
33;Armenia
13;Malaysia
14;Maldives
30;Vanuatu
11;Indonesia
10;Cambodia
6;China
28;Solomon Islands
8;Taiwan (Province of China)
12;Lao People's Democratic Republic
7;Democratic People's Republic of Korea
29;Tonga
22;Fiji
27;Samoa
26;Papua New Guinea
23;Kiribati
25;Micronesia (Federated States of)
24;Marshall Islands
41;Uzbekistan
39;Tajikistan
20;Viet Nam
40;Turkmenistan
51;Poland
38;Mongolia
36;Kazakhstan
50;Montenegro
48;Hungary
37;Kyrgyzstan
49;North Macedonia
46;Croatia
47;Czechia
66;Brunei Darussalam
45;Bulgaria
63;Ukraine
43;Albania
61;Republic of Moldova
62;Russian Federation
57;Belarus
59;Latvia
44;Bosnia and Herzegovina
60;Lithuania
58;Estonia
76;Belgium
77;Cyprus
74;Andorra
75;Austria
71;Australia
55;Slovenia
52;Romania
53;Serbia
83;Iceland
72;New Zealand
82;Greece
78;Denmark
54;Slovakia
69;Singapore
80;France
81;Germany
68;Republic of Korea
79;Finland
98;Chile
99;Uruguay
97;Argentina
95;United Kingdom
94;Switzerland
92;Spain
113;Guyana
114;Haiti
93;Sweden
91;Portugal
90;Norway
111;Dominican Republic
115;Jamaica
112;Grenada
110;Dominica
107;Barbados
106;Bahamas
87;Luxembourg
109;Cuba
86;Italy
105;Antigua and Barbuda
88;Malta
89;Netherlands
108;Belize
101;Canada
85;Israel
84;Ireland
102;United States of America
130;Mexico
131;Nicaragua
128;Guatemala
129;Honduras
125;Colombia
126;Costa Rica
121;Bolivia (Plurinational State of)
127;El Salvador
147;Libya
123;Peru
146;Lebanon
144;Jordan
143;Iraq
145;Kuwait
119;Trinidad and Tobago
142;Iran (Islamic Republic of)
118;Suriname
116;Saint Lucia
141;Egypt
122;Ecuador
140;Bahrain
117;Saint Vincent and the Grenadines
139;Algeria
132;Panama
133;Venezuela (Bolivarian Republic of)
163;India
136;Paraguay
160;Afghanistan
135;Brazil
162;Bhutan
161;Bangladesh
150;Oman
156;United Arab Emirates
157;Yemen
154;Tunisia
149;Palestine
151;Qatar
153;Syrian Arab Republic
152;Saudi Arabia
155;Turkey
148;Morocco
168;Angola
179;Ethiopia
178;Eritrea
177;Djibouti
175;Burundi
176;Comoros
170;Congo
172;Equatorial Guinea
173;Gabon
171;Democratic Republic of the Congo
169;Central African Republic
165;Pakistan
164;Nepal
193;Botswana
191;Zambia
194;Lesotho
196;South Africa
195;Namibia
190;Uganda
186;Seychelles
187;Somalia
189;United Republic of Tanzania
185;Rwanda
184;Mozambique
183;Mauritius
182;Malawi
180;Kenya
181;Madagascar
211;Mali
212;Mauritania
210;Liberia
208;Guinea
209;Guinea-Bissau
207;Ghana
204;Chad
200;Benin
205;Cï¿½ï¿½ï¿½ï¿½ï
203;Cabo Verde
206;Gambia
202;Cameroon
201;Burkina Faso
197;Eswatini
198;Zimbabwe
376;Northern Mariana Islands
396;San Marino
413;Tokelau
385;Puerto Rico
374;Niue
393;Saint Kitts and Nevis
218;Togo
217;Sierra Leone
380;Palau
351;Guam
215;Sao Tome and Principe
367;Monaco
369;Nauru
216;Senegal
214;Nigeria
298;American Samoa
305;Bermuda
320;Cook Islands
522;Sudan
349;Greenland
213;Niger
435;South Sudan
416;Tuvalu
422;United States Virgin Islands
